patient,sample,lane,fastq_1,fastq_2
0093,sample93,L001,/data/public/Project/Seawall/FASTQ/M2000-664-134199-9130r-B_112-WES-74_L04_1.fq.gz,/data/public/Project/Seawall/FASTQ/M2000-664-134199-9130r-B_112-WES-74_L04_2.fq.gz
0093,sample93,L002,/data/public/Project/Seawall/FASTQ/M2000-664-134199-9130r-B_112-WES-74_L03_1.fq.gz,/data/public/Project/Seawall/FASTQ/M2000-664-134199-9130r-B_112-WES-74_L03_2.fq.gz
0094,sample94,L001,/data/public/Project/Seawall/FASTQ/612736-9130rv3-LSF-WES_L01_1.fq.gz,/data/public/Project/Seawall/FASTQ/612736-9130rv3-LSF-WES_L01_2.fq.gz
0095,sample95,L001,/data/public/Project/Seawall/FASTQ/612559-9130rv3-SJ-WES_L01_1.fq.gz,/data/public/Project/Seawall/FASTQ/612559-9130rv3-SJ-WES_L01_2.fq.gz
0096,sample96,L001,/data/public/Project/Seawall/FASTQ/M2000-665-134265-9130r-B_071-WES-101_L03_1.fq.gz,/data/public/Project/Seawall/FASTQ/M2000-665-134265-9130r-B_071-WES-101_L03_2.fq.gz
0096,sample96,L002,/data/public/Project/Seawall/FASTQ/M2000-665-134265-9130r-B_071-WES-101_L04_1.fq.gz,/data/public/Project/Seawall/FASTQ/M2000-665-134265-9130r-B_071-WES-101_L04_2.fq.gz
0097,sample97,L001,/data/public/Project/Seawall/FASTQ/612592-9130rv3-THL-WES_L01_1.fq.gz,/data/public/Project/Seawall/FASTQ/612592-9130rv3-THL-WES_L01_2.fq.gz
0098,sample98,L001,/data/public/Project/Seawall/FASTQ/612753-9130rv3-GXX-WES_L01_1.fq.gz,/data/public/Project/Seawall/FASTQ/612753-9130rv3-GXX-WES_L01_2.fq.gz
0099,sample99,L001,/data/public/Project/Seawall/FASTQ/612739-9130rv3-ZDJ-WES_L01_1.fq.gz,/data/public/Project/Seawall/FASTQ/612739-9130rv3-ZDJ-WES_L01_2.fq.gz
0100,sample100,L001,/data/public/Project/Seawall/FASTQ/612750-9130rv3-ZXL-WES_L01_1.fq.gz,/data/public/Project/Seawall/FASTQ/612750-9130rv3-ZXL-WES_L01_2.fq.gz
0101,sample101,L001,/data/public/Project/Seawall/FASTQ/612552-9130rv3-LJ-WES_L01_1.fq.gz,/data/public/Project/Seawall/FASTQ/612552-9130rv3-LJ-WES_L01_2.fq.gz
